branch,status,family,decision,frozen_path,control,mode,compile_model,train_batch_tokens,train_shards,model_params,val_points,best_step,best_val_bpb,final_step,final_val_bpb,roundtrip_val_bpb,int8_zlib_model_bytes,int8_payload_bytes,int8_raw_torch_bytes,int8_payload_ratio,code_bytes,total_submission_int8_zlib_bytes,artifact_margin_bytes,step_avg_ms,telemetry_samples,gpu_util_avg,gpu_util_p10,gpu_util_p50,gpu_util_p90,gpu_util_lt80_frac,power_avg_w,temp_avg_c,mem_avg_gb,mem_peak_gb,mem_total_gb,path
baseline-repro,ok,control,none,none,none,baseline,,524288,1,17059912,26,5000,1.3436,5000,1.3436,1.34862963,15828357,17178912,17224025,3.91,47968,15876325,123675,234.33,416,86.98317307692308,0.0,100.0,100.0,0.12980769230769232,356.92016826923077,62.39423076923077,10.295804537259615,10.7646484375,23.98828125,runpod/experiments/2026-04-16-nvidia-geforce-rtx-4090-4gpu/baseline-repro/2026-04-16_baseline-repro_nvidia-geforce-rtx-4090_4gpu_i5000_run1/train.log
stf-minimal,ok,decision,hard threshold,previous state,min active guardrail,minimal,False,524288,1,17059912,26,5000,1.4115,5000,1.4115,1.41621629,15825481,17178912,17224025,3.91,54825,15880306,119694,459.47,728,95.89285714285714,94.0,97.0,100.0,0.016483516483516484,349.0752335164835,63.58379120879121,15.038230812156593,15.2177734375,23.98828125,runpod/experiments/2026-04-16-nvidia-geforce-rtx-4090-4gpu/stf-minimal/2026-04-16_stf-minimal_nvidia-geforce-rtx-4090_4gpu_i5000_run1/train.log
stf-learned-gate,ok,decision,learned sigmoid gate,continuous old/new blend,min active guardrail,learned_gate,False,524288,1,17059930,26,5000,1.3389,5000,1.3389,1.34338573,15811070,17178948,17224661,3.91,54830,15865900,134100,498.34,772,98.87176165803109,99.0,100.0,100.0,0.007772020725388601,345.3798575129534,62.26036269430052,15.72681549546632,15.9189453125,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-learned-gate/2026-04-15_stf-learned-gate_nvidia-geforce-rtx-4090_4gpu_i5000_run1/train.log
stf-soft-freeze,ok,frozen path,hard threshold,soft keep of new state,min active guardrail,soft_freeze,False,524288,1,17059912,26,5000,1.3417,5000,1.3417,1.3456653,15801877,17178912,17224025,3.91,54829,15856706,143294,594.22,912,96.89144736842105,94.0,99.0,100.0,0.015350877192982455,299.9787171052632,62.074561403508774,15.11707185444079,15.2802734375,23.98828125,runpod/experiments/2026-04-16-nvidia-geforce-rtx-4090-4gpu/stf-soft-freeze/2026-04-16_stf-soft-freeze_nvidia-geforce-rtx-4090_4gpu_i5000_run1/train.log
stf-reactivation,missing,control,hard threshold,previous state,periodic reopen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stf-budget-regularization,missing,control,adaptive threshold,previous state,target active budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stf-recurrence,ok,frozen path,hard threshold,recurrent old/new blend,min active guardrail,recurrence,False,524288,1,17059912,26,5000,1.339,5000,1.339,1.3430759,15807188,17178912,17224025,3.91,54846,15862034,137966,472.41,752,96.26462765957447,95.0,98.0,100.0,0.014627659574468085,351.28352393617024,63.72872340425532,14.37689858294548,14.5283203125,23.98828125,runpod/experiments/2026-04-16-nvidia-geforce-rtx-4090-4gpu/stf-recurrence/2026-04-16_stf-recurrence_nvidia-geforce-rtx-4090_4gpu_i5000_run1/train.log
stf-quantization,missing,frozen path,hard threshold,quantized previous state,min active guardrail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
