branch,status,family,decision,frozen_path,control,mode,compile_model,train_batch_tokens,train_shards,model_params,val_points,best_step,best_val_bpb,final_step,final_val_bpb,roundtrip_val_bpb,int8_zlib_model_bytes,int8_payload_bytes,int8_raw_torch_bytes,int8_payload_ratio,code_bytes,total_submission_int8_zlib_bytes,artifact_margin_bytes,step_avg_ms,telemetry_samples,gpu_util_avg,gpu_util_p10,gpu_util_p50,gpu_util_p90,gpu_util_lt80_frac,power_avg_w,temp_avg_c,mem_avg_gb,mem_peak_gb,mem_total_gb,path
baseline-repro,ok,control,none,none,none,baseline,,524288,1,17059912,11,2000,1.3393,2000,1.3393,1.34055375,15003848,17178912,17224025,3.91,47968,15051816,948184,234.28,204,76.33333333333333,0.0,100.0,100.0,0.23529411764705882,317.3144117647059,56.96568627450981,9.943282781862745,10.7646484375,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/baseline-repro/2026-04-15_baseline-repro_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
stf-minimal,ok,decision,hard threshold,previous state,min active guardrail,{args.stf_mode},"{args.compile_model}"")",524288,1,17059912,11,2000,1.4215,2000,1.4215,1.42296163,15102490,17178912,17224025,3.91,54543,15157033,842967,482.75,320,93.646875,93.0,97.0,100.0,0.034375,327.7911875,60.765625,14.82545166015625,15.2294921875,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-minimal/2026-04-15_stf-minimal_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
stf-learned-gate,ok,decision,learned sigmoid gate,continuous old/new blend,min active guardrail,learned_gate,False,524288,1,17059930,11,2000,1.3435,2000,1.3435,1.34478872,14988516,17178948,17224661,3.91,54830,15043346,956654,497.23,320,96.990625,99.0,100.0,100.0,0.025,341.50931249999996,61.528125,15.48255615234375,15.9189453125,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-learned-gate/2026-04-15_stf-learned-gate_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
stf-soft-freeze,ok,frozen path,hard threshold,soft keep of new state,min active guardrail,soft_freeze,False,524288,1,17059912,11,2000,1.3563,2000,1.3563,1.3576042,14990670,17178912,17224025,3.91,54829,15045499,954501,495.2,328,93.63414634146342,94.0,97.0,100.0,0.039634146341463415,331.4378353658537,61.38414634146341,14.864210175304878,15.2919921875,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-soft-freeze/2026-04-15_stf-soft-freeze_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
stf-reactivation,ok,control,hard threshold,previous state,periodic reopen,reactivation,False,524288,1,17059912,11,2000,1.4216,2000,1.4216,1.42282458,15110872,17178912,17224025,3.91,54830,15165702,834298,477.62,312,94.0576923076923,94.0,98.0,100.0,0.038461538461538464,333.63711538461536,61.62820512820513,14.801000350560898,15.2294921875,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-reactivation/2026-04-15_stf-reactivation_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
stf-budget-regularization,ok,control,adaptive threshold,previous state,target active budget,budget_regularization,False,524288,1,17059912,11,2000,1.422,2000,1.422,1.42356717,15107510,17178912,17224025,3.91,54839,15162349,837651,480.29,316,94.7879746835443,93.0,97.0,100.0,0.02531645569620253,333.5873734177215,61.639240506329116,14.80585566653481,15.2294921875,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-budget-regularization/2026-04-15_stf-budget-regularization_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
stf-recurrence,ok,frozen path,hard threshold,recurrent old/new blend,min active guardrail,recurrence,False,262144,1,17059912,11,2000,1.3617,2000,1.3617,1.36290791,14947256,17178912,17224025,3.91,54846,15002102,997898,256.62,204,89.93627450980392,91.0,96.0,98.0,0.058823529411764705,314.7419117647059,61.15196078431372,7.800111060049019,8.1904296875,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-recurrence/2026-04-15_stf-recurrence_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
stf-quantization,ok,frozen path,hard threshold,quantized previous state,min active guardrail,quantization,False,524288,1,17059912,11,2000,1.6983,2000,1.6983,1.69914461,14990607,17178912,17224025,3.91,54830,15045437,954563,488.12,320,95.140625,94.0,97.0,100.0,0.025,334.67296875,61.7,14.88651123046875,15.2919921875,23.98828125,runpod/experiments/2026-04-15-nvidia-geforce-rtx-4090-4gpu/stf-quantization/2026-04-15_stf-quantization_nvidia-geforce-rtx-4090_4gpu_i2000_run1/train.log
